energy_price,energy_price_predicted_1,energy_price_predicted_2,energy_price_predicted_3
104.36,70.06,33.62,92.32
99.28,67.22,2.12,90.33
99.28,67.22,2.12,90.33
99.28,67.22,2.12,90.33
99.28,67.22,2.12,90.33
92.53,67.22,0.53,83.46
92.53,67.22,0.53,83.46
92.53,67.22,0.53,83.46
92.53,67.22,0.53,83.46
89.84,74.5,0.65,73.37000000000002
89.84,74.5,0.65,73.37000000000002
89.84,74.5,0.65,73.37000000000002
89.84,74.5,0.65,73.37000000000002
79.32,83.8,0.69,62.4
79.32,83.8,0.69,62.4
79.32,83.8,0.69,62.4
79.32,83.8,0.69,62.4
75.58,77.26,0.7900000000000001,41.92
75.58,77.26,0.7900000000000001,41.92
75.58,77.26,0.7900000000000001,41.92
75.58,77.26,0.7900000000000001,41.92
70.06,33.62,2.78,39.41
70.06,33.62,2.78,39.41
70.06,33.62,2.78,39.41
70.06,33.62,2.78,39.41
67.22,2.12,42.65,34.62
67.22,2.12,42.65,34.62
67.22,2.12,42.65,34.62
67.22,2.12,42.65,34.62
67.22,0.53,90.87999999999998,42.09
67.22,0.53,90.87999999999998,42.09
67.22,0.53,90.87999999999998,42.09
67.22,0.53,90.87999999999998,42.09
74.5,0.65,98.94,47.43
74.5,0.65,98.94,47.43
74.5,0.65,98.94,47.43
74.5,0.65,98.94,47.43
83.8,0.69,102.87999999999998,64.23
83.8,0.69,102.87999999999998,64.23
83.8,0.69,102.87999999999998,64.23
83.8,0.69,102.87999999999998,64.23
77.26,0.7900000000000001,91.16,57.86
77.26,0.7900000000000001,91.16,57.86
77.26,0.7900000000000001,91.16,57.86
77.26,0.7900000000000001,91.16,57.86
33.62,2.78,92.32,16.29
33.62,2.78,92.32,16.29
33.62,2.78,92.32,16.29
33.62,2.78,92.32,16.29
2.12,42.65,90.33,1.63
2.12,42.65,90.33,1.63
2.12,42.65,90.33,1.63
2.12,42.65,90.33,1.63
0.53,90.87999999999998,83.46,0.02
0.53,90.87999999999998,83.46,0.02
0.53,90.87999999999998,83.46,0.02
0.53,90.87999999999998,83.46,0.02
0.65,98.94,73.37000000000002,0.0
0.65,98.94,73.37000000000002,0.0
0.65,98.94,73.37000000000002,0.0
0.65,98.94,73.37000000000002,0.0
0.69,102.87999999999998,62.4,0.0
0.69,102.87999999999998,62.4,0.0
0.69,102.87999999999998,62.4,0.0
0.69,102.87999999999998,62.4,0.0
0.7900000000000001,91.16,41.92,0.0
0.7900000000000001,91.16,41.92,0.0
0.7900000000000001,91.16,41.92,0.0
0.7900000000000001,91.16,41.92,0.0
2.78,92.32,39.41,0.28
2.78,92.32,39.41,0.28
2.78,92.32,39.41,0.28
2.78,92.32,39.41,0.28
42.65,90.33,34.62,14.13
42.65,90.33,34.62,14.13
42.65,90.33,34.62,14.13
42.65,90.33,34.62,14.13
90.87999999999998,83.46,42.09,59.17
90.87999999999998,83.46,42.09,59.17
90.87999999999998,83.46,42.09,59.17
90.87999999999998,83.46,42.09,59.17
98.94,73.37000000000002,47.43,68.78
98.94,73.37000000000002,47.43,68.78
98.94,73.37000000000002,47.43,68.78
98.94,73.37000000000002,47.43,68.78
102.87999999999998,62.4,64.23,73.52
102.87999999999998,62.4,64.23,73.52
102.87999999999998,62.4,64.23,73.52
102.87999999999998,62.4,64.23,73.52
91.16,41.92,57.86,79.15
91.16,41.92,57.86,79.15
91.16,41.92,57.86,79.15
91.16,41.92,57.86,79.15
92.32,39.41,16.29,72.77
92.32,39.41,16.29,72.77
92.32,39.41,16.29,72.77
92.32,39.41,16.29,72.77
90.33,34.62,1.63,65.31
90.33,34.62,1.63,65.31
90.33,34.62,1.63,65.31
90.33,34.62,1.63,65.31
83.46,42.09,0.02,43.25
83.46,42.09,0.02,43.25
83.46,42.09,0.02,43.25
83.46,42.09,0.02,43.25
73.37000000000002,47.43,0.0,27.68
73.37000000000002,47.43,0.0,27.68
73.37000000000002,47.43,0.0,27.68
73.37000000000002,47.43,0.0,27.68
62.4,64.23,0.0,10.84
62.4,64.23,0.0,10.84
62.4,64.23,0.0,10.84
62.4,64.23,0.0,10.84
41.92,57.86,0.0,3.9100000000000006
41.92,57.86,0.0,3.9100000000000006
41.92,57.86,0.0,3.9100000000000006
41.92,57.86,0.0,3.9100000000000006
39.41,16.29,0.28,3.52
39.41,16.29,0.28,3.52
39.41,16.29,0.28,3.52
39.41,16.29,0.28,3.52
34.62,1.63,14.13,3.52
34.62,1.63,14.13,3.52
34.62,1.63,14.13,3.52
34.62,1.63,14.13,3.52
42.09,0.02,59.17,3.52
42.09,0.02,59.17,3.52
42.09,0.02,59.17,3.52
42.09,0.02,59.17,3.52
47.43,0.0,68.78,16.04
47.43,0.0,68.78,16.04
47.43,0.0,68.78,16.04
47.43,0.0,68.78,16.04
64.23,0.0,73.52,47.13
64.23,0.0,73.52,47.13
64.23,0.0,73.52,47.13
64.23,0.0,73.52,47.13
57.86,0.0,79.15,61.3
57.86,0.0,79.15,61.3
57.86,0.0,79.15,61.3
57.86,0.0,79.15,61.3
16.29,0.28,72.77,47.85
16.29,0.28,72.77,47.85
16.29,0.28,72.77,47.85
16.29,0.28,72.77,47.85
1.63,14.13,65.31,39.18
1.63,14.13,65.31,39.18
1.63,14.13,65.31,39.18
1.63,14.13,65.31,39.18
0.02,59.17,43.25,31.469999999999995
0.02,59.17,43.25,31.469999999999995
0.02,59.17,43.25,31.469999999999995
0.02,59.17,43.25,31.469999999999995
0.0,68.78,27.68,28.12
0.0,68.78,27.68,28.12
0.0,68.78,27.68,28.12
0.0,68.78,27.68,28.12
0.0,73.52,10.84,34.17
0.0,73.52,10.84,34.17
0.0,73.52,10.84,34.17
0.0,73.52,10.84,34.17
0.0,79.15,3.9100000000000006,38.67
0.0,79.15,3.9100000000000006,38.67
0.0,79.15,3.9100000000000006,38.67
0.0,79.15,3.9100000000000006,38.67
0.28,72.77,3.52,45.24
0.28,72.77,3.52,45.24
0.28,72.77,3.52,45.24
0.28,72.77,3.52,45.24
14.13,65.31,3.52,55.86
14.13,65.31,3.52,55.86
14.13,65.31,3.52,55.86
14.13,65.31,3.52,55.86
59.17,43.25,3.52,61.81000000000001
59.17,43.25,3.52,61.81000000000001
59.17,43.25,3.52,61.81000000000001
59.17,43.25,3.52,61.81000000000001
68.78,27.68,16.04,73.12000000000002
68.78,27.68,16.04,73.12000000000002
68.78,27.68,16.04,73.12000000000002
68.78,27.68,16.04,73.12000000000002
73.52,10.84,47.13,74.86
73.52,10.84,47.13,74.86
73.52,10.84,47.13,74.86
73.52,10.84,47.13,74.86
79.15,3.9100000000000006,61.3,82.08
79.15,3.9100000000000006,61.3,82.08
79.15,3.9100000000000006,61.3,82.08
79.15,3.9100000000000006,61.3,82.08
72.77,3.52,47.85,77.97
72.77,3.52,47.85,77.97
72.77,3.52,47.85,77.97
72.77,3.52,47.85,77.97
65.31,3.52,39.18,71.27
65.31,3.52,39.18,71.27
65.31,3.52,39.18,71.27
65.31,3.52,39.18,71.27
43.25,3.52,31.469999999999995,64.39
43.25,3.52,31.469999999999995,64.39
43.25,3.52,31.469999999999995,64.39
43.25,3.52,31.469999999999995,64.39
27.68,16.04,28.12,42.93999999999999
27.68,16.04,28.12,42.93999999999999
27.68,16.04,28.12,42.93999999999999
27.68,16.04,28.12,42.93999999999999
10.84,47.13,34.17,39.75
10.84,47.13,34.17,39.75
10.84,47.13,34.17,39.75
10.84,47.13,34.17,39.75
3.9100000000000006,61.3,38.67,29.92
3.9100000000000006,61.3,38.67,29.92
3.9100000000000006,61.3,38.67,29.92
3.9100000000000006,61.3,38.67,29.92
3.52,47.85,45.24,21.5
3.52,47.85,45.24,21.5
3.52,47.85,45.24,21.5
3.52,47.85,45.24,21.5
3.52,39.18,55.86,16.7
3.52,39.18,55.86,16.7
3.52,39.18,55.86,16.7
3.52,39.18,55.86,16.7
3.52,31.469999999999995,61.81000000000001,31.71
3.52,31.469999999999995,61.81000000000001,31.71
3.52,31.469999999999995,61.81000000000001,31.71
3.52,31.469999999999995,61.81000000000001,31.71
16.04,28.12,73.12000000000002,60.06000000000001
16.04,28.12,73.12000000000002,60.06000000000001
16.04,28.12,73.12000000000002,60.06000000000001
16.04,28.12,73.12000000000002,60.06000000000001
47.13,34.17,74.86,78.01
47.13,34.17,74.86,78.01
47.13,34.17,74.86,78.01
47.13,34.17,74.86,78.01
61.3,38.67,82.08,82.11
61.3,38.67,82.08,82.11
61.3,38.67,82.08,82.11
61.3,38.67,82.08,82.11
