month,hour,minutes,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
11,23,45,1,0,0,0,0,0.0,0,0,0,0.0
11,0,0,2,0,0,0,0,0.0,0,0,0,0.0
11,0,15,2,0,0,0,0,0.0,0,0,0,0.0
11,0,30,2,0,0,0,0,0.0,0,0,0,0.0
11,0,45,2,0,0,0,0,0.0,0,0,0,0.0
11,1,0,2,0,0,0,0,0.0,0,0,0,0.0
11,1,15,2,0,0,0,0,0.0,0,0,0,0.0
11,1,30,2,0,0,0,0,0.0,0,0,0,0.0
11,1,45,2,0,0,0,0,0.0,0,0,0,0.0
11,2,0,2,0,0,0,0,0.0,0,0,0,0.0
11,2,15,2,0,0,0,0,0.0,0,0,0,0.0
11,2,30,2,0,0,0,0,0.0,0,0,0,0.0
11,2,45,2,0,0,0,0,0.0,0,0,0,0.0
11,3,0,2,0,0,0,0,0.0,0,0,0,0.0
11,3,15,2,0,0,0,0,0.0,0,0,0,0.0
11,3,30,2,0,0,0,0,0.0,0,0,0,0.0
11,3,45,2,0,0,0,0,0.0,0,0,0,0.0
11,4,0,2,0,0,0,0,0.0,0,0,0,0.0
11,4,15,2,0,0,0,0,0.0,0,0,0,0.0
11,4,30,2,0,0,0,0,0.0,0,0,0,0.0
11,4,45,2,0,0,0,0,0.0,0,0,0,0.0
11,5,0,2,0,0,0,0,0.0,0,0,0,0.0
11,5,15,2,0,0,0,0,0.0,0,0,0,0.0
11,5,30,2,0,0,0,0,0.0,0,0,0,0.0
11,5,45,2,0,0,0,0,0.0,0,0,0,0.0
11,6,0,2,0,0,0,0,0.0,0,0,0,0.0
11,6,15,2,0,0,0,0,0.0,0,0,0,0.0
11,6,30,2,0,0,0,0,0.0,0,0,0,0.0
11,6,45,2,0,0,0,0,0.0,0,0,0,0.0
11,7,0,2,0,0,0,0,0.0,0,0,0,0.0
11,7,15,2,0,0,0,0,0.0,0,0,0,0.0
11,7,30,2,0,0,0,0,0.0,0,0,0,0.0
11,7,45,2,0,0,0,0,0.0,0,0,0,0.0
11,8,0,2,0,0,0,0,0.0,0,0,0,0.0
